u,y
0.00000000e+00, 0.00000000e+00
9.18457806e-02, 1.00100096e-05
1.83689237e-01, 2.00200193e-05
2.75532871e-01, 3.00300289e-05
3.67112607e-01, 4.00400386e-05
4.59143251e-01, 5.00500464e-05
5.51173806e-01, 6.00600542e-05
6.43203914e-01, 7.00700621e-05
7.34354675e-01, 8.00800699e-05
8.25462937e-01, 9.00900777e-05
9.16570902e-01, 1.00100086e-04
1.00696886e+00, 1.10110093e-04
1.09584558e+00, 1.20120101e-04
1.18472171e+00, 1.30130109e-04
1.27359903e+00, 1.40140124e-04
1.35937512e+00, 1.50150139e-04
1.44495833e+00, 1.60160154e-04
1.53054953e+00, 1.70170169e-04
1.61432695e+00, 1.80180185e-04
1.69550347e+00, 1.90190200e-04
1.77663589e+00, 2.00200215e-04
1.85777020e+00, 2.10210230e-04
1.93315983e+00, 2.20220245e-04
2.00741124e+00, 2.30230260e-04
2.08166337e+00, 2.40240275e-04
2.15582418e+00, 2.50250276e-04
2.21449494e+00, 2.60260276e-04
2.26971412e+00, 2.70270277e-04
2.32493281e+00, 2.80280277e-04
2.38015199e+00, 2.90290278e-04
2.43537092e+00, 3.00300278e-04
2.47805262e+00, 3.10310279e-04
2.51722264e+00, 3.20320280e-04
2.55639243e+00, 3.30330280e-04
2.59460592e+00, 3.40340281e-04
2.63277602e+00, 3.50350281e-04
2.66533995e+00, 3.60360282e-04
2.68054128e+00, 3.70370282e-04
2.69574308e+00, 3.80380283e-04
2.71094465e+00, 3.90390283e-04
2.72614551e+00, 4.00400284e-04
2.74134636e+00, 4.10410285e-04
2.75683165e+00, 4.20420285e-04
2.75878286e+00, 4.30430286e-04
2.75335765e+00, 4.40440286e-04
2.74793267e+00, 4.50450287e-04
2.74250698e+00, 4.60460287e-04
2.73694515e+00, 4.70470288e-04
2.73138285e+00, 4.80480288e-04
2.72582078e+00, 4.90490289e-04
2.70696545e+00, 5.00500319e-04
2.68379974e+00, 5.10510348e-04
2.66090727e+00, 5.20520378e-04
2.63801455e+00, 5.30530408e-04
2.61512208e+00, 5.40540437e-04
2.59223008e+00, 5.50550467e-04
2.56933784e+00, 5.60560497e-04
2.53425097e+00, 5.70570526e-04
2.49414134e+00, 5.80580556e-04
2.45403147e+00, 5.90590585e-04
2.41392207e+00, 6.00600615e-04
2.37400150e+00, 6.10610645e-04
2.33432484e+00, 6.20620674e-04
2.29230261e+00, 6.30630704e-04
2.24705076e+00, 6.40640734e-04
2.20179915e+00, 6.50650763e-04
2.15654755e+00, 6.60660793e-04
2.11129546e+00, 6.70670823e-04
2.06576991e+00, 6.80680852e-04
2.01803565e+00, 6.90690882e-04
1.96975064e+00, 7.00700912e-04
1.91973472e+00, 7.10710941e-04
1.86971927e+00, 7.20720971e-04
1.81970382e+00, 7.30731001e-04
1.76968861e+00, 7.40741030e-04
1.71967340e+00, 7.50751060e-04
1.66965806e+00, 7.60761090e-04
1.62075043e+00, 7.70771119e-04
1.57659447e+00, 7.80781149e-04
1.53259552e+00, 7.90791179e-04
1.48855138e+00, 8.00801208e-04
1.44450724e+00, 8.10811238e-04
1.40046299e+00, 8.20821268e-04
1.35641885e+00, 8.30831297e-04
1.31237435e+00, 8.40841327e-04
1.26832974e+00, 8.50851357e-04
1.22773159e+00, 8.60861386e-04
1.18720603e+00, 8.70871416e-04
1.14668047e+00, 8.80881445e-04
1.10615480e+00, 8.90891475e-04
1.06562912e+00, 9.00901505e-04
1.02510369e+00, 9.10911534e-04
9.84785080e-01, 9.20921564e-04
9.45628941e-01, 9.30931594e-04
9.14425552e-01, 9.40941623e-04
8.87720168e-01, 9.50951653e-04
8.61014903e-01, 9.60961683e-04
8.34309638e-01, 9.70971712e-04
8.07604373e-01, 9.80981742e-04
7.80899286e-01, 9.90991713e-04
7.54194140e-01, 1.00100168e-03
7.27489114e-01, 1.01101166e-03
7.00784028e-01, 1.02102163e-03
6.74079299e-01, 1.03103160e-03
6.47374749e-01, 1.04104157e-03
6.26083314e-01, 1.05105154e-03
6.05938971e-01, 1.06106151e-03
5.85657656e-01, 1.07107149e-03
5.65262794e-01, 1.08108146e-03
5.44867933e-01, 1.09109143e-03
5.24472952e-01, 1.10110140e-03
5.04078209e-01, 1.11111137e-03
4.83683527e-01, 1.12112134e-03
4.63288814e-01, 1.13113131e-03
4.42894131e-01, 1.14114129e-03
4.22499418e-01, 1.15115126e-03
4.05299693e-01, 1.16116123e-03
3.91031682e-01, 1.17117120e-03
3.76763970e-01, 1.18118117e-03
3.62496316e-01, 1.19119114e-03
3.49191219e-01, 1.20120111e-03
3.36031079e-01, 1.21121109e-03
3.22870970e-01, 1.22122106e-03
3.09710801e-01, 1.23123103e-03
2.96550930e-01, 1.24124100e-03
2.83391058e-01, 1.25125097e-03
2.70231217e-01, 1.26126094e-03
2.57743210e-01, 1.27127091e-03
2.47670352e-01, 1.28128089e-03
2.37597480e-01, 1.29129086e-03
2.27524608e-01, 1.30130083e-03
2.17446864e-01, 1.31131080e-03
2.08203271e-01, 1.32132077e-03
1.98955804e-01, 1.33133074e-03
1.89708382e-01, 1.34134071e-03
1.80460662e-01, 1.35135069e-03
1.71212927e-01, 1.36136066e-03
1.63143098e-01, 1.37137063e-03
1.56714350e-01, 1.38138060e-03
1.50285602e-01, 1.39139057e-03
1.43856838e-01, 1.40140054e-03
1.37428075e-01, 1.41141051e-03
1.30999327e-01, 1.42142049e-03
1.24982655e-01, 1.43143046e-03
1.19042367e-01, 1.44144043e-03
1.13101996e-01, 1.45145040e-03
1.07161567e-01, 1.46146037e-03
1.02465868e-01, 1.47147034e-03
9.82346088e-02, 1.48148031e-03
9.40033197e-02, 1.49149029e-03
8.97720754e-02, 1.50150026e-03
8.55408460e-02, 1.51151023e-03
8.13096315e-02, 1.52152020e-03
7.70784020e-02, 1.53153017e-03
7.28836060e-02, 1.54154014e-03
6.89239502e-02, 1.55155011e-03
6.49643168e-02, 1.56156009e-03
6.20148629e-02, 1.57157006e-03
5.91846481e-02, 1.58158003e-03
5.63544258e-02, 1.59159000e-03
5.35241961e-02, 1.60159997e-03
5.06939515e-02, 1.61160994e-03
4.78636958e-02, 1.62161991e-03
4.50334474e-02, 1.63162989e-03
4.22031917e-02, 1.64163986e-03
3.93729322e-02, 1.65164983e-03
3.65646258e-02, 1.66165980e-03
3.47098410e-02, 1.67166977e-03
3.29763964e-02, 1.68167974e-03
3.12382281e-02, 1.69168971e-03
2.94993445e-02, 1.70169969e-03
2.77604517e-02, 1.71170966e-03
2.60215681e-02, 1.72171963e-03
2.42826845e-02, 1.73172960e-03
2.25438029e-02, 1.74173957e-03
2.08049212e-02, 1.75174954e-03
1.90660376e-02, 1.76175951e-03
1.73271578e-02, 1.77176949e-03
1.59236416e-02, 1.78177946e-03
1.47979008e-02, 1.79178943e-03
1.37175703e-02, 1.80179940e-03
1.26372427e-02, 1.81180937e-03
1.15569159e-02, 1.82181934e-03
1.04765911e-02, 1.83182932e-03
9.40111186e-03, 1.84183929e-03
8.31593387e-03, 1.85184926e-03
7.23560527e-03, 1.86185923e-03
6.15527434e-03, 1.87186920e-03
5.07495133e-03, 1.88187917e-03
3.99462879e-03, 1.89188914e-03
3.28355795e-03, 1.90189912e-03
2.58049276e-03, 1.91190909e-03
