u,y
0.00000000e+00, 0.00000000e+00
8.84634256e-02, 1.00100096e-05
1.76926911e-01, 2.00200193e-05
2.65047997e-01, 3.00300289e-05
3.52785528e-01, 4.00400386e-05
4.40432429e-01, 5.00500464e-05
5.28549492e-01, 6.00600542e-05
6.17518961e-01, 7.00700621e-05
7.13024616e-01, 8.00800699e-05
8.04615140e-01, 9.00900777e-05
8.96205544e-01, 1.00100086e-04
9.79551673e-01, 1.10110093e-04
1.05875516e+00, 1.20120101e-04
1.13795900e+00, 1.30130109e-04
1.21716309e+00, 1.40140124e-04
1.30235434e+00, 1.50150139e-04
1.37392449e+00, 1.60160154e-04
1.44549489e+00, 1.70170169e-04
1.51716852e+00, 1.80180185e-04
1.58890676e+00, 1.90190200e-04
1.66064489e+00, 2.00200215e-04
1.71887541e+00, 2.10210230e-04
1.77749801e+00, 2.20220245e-04
1.83722353e+00, 2.30230260e-04
1.89694905e+00, 2.40240275e-04
1.95667505e+00, 2.50250276e-04
2.00795031e+00, 2.60260276e-04
2.04420543e+00, 2.70270277e-04
2.08046031e+00, 2.80280277e-04
2.11671472e+00, 2.90290278e-04
2.15552306e+00, 3.00300278e-04
2.19638205e+00, 3.10310279e-04
2.22792292e+00, 3.20320280e-04
2.25147080e+00, 3.30330280e-04
2.26866221e+00, 3.40340281e-04
2.28204513e+00, 3.50350281e-04
2.29542828e+00, 3.60360282e-04
2.30881166e+00, 3.70370282e-04
2.31255960e+00, 3.80380283e-04
2.31259298e+00, 3.90390283e-04
2.31262636e+00, 4.00400284e-04
2.31265950e+00, 4.10410285e-04
2.31269240e+00, 4.20420285e-04
2.30122995e+00, 4.30430286e-04
2.28675938e+00, 4.40440286e-04
2.27024698e+00, 4.50450287e-04
2.24912286e+00, 4.60460287e-04
2.22799873e+00, 4.70470288e-04
2.20687437e+00, 4.80480288e-04
2.18575072e+00, 4.90490289e-04
2.16231418e+00, 5.00500319e-04
2.12680483e+00, 5.10510348e-04
2.09129524e+00, 5.20520378e-04
2.05578589e+00, 5.30530408e-04
2.02027655e+00, 5.40540437e-04
1.98468018e+00, 5.50550467e-04
1.94901848e+00, 5.60560497e-04
1.91335738e+00, 5.70570526e-04
1.87676191e+00, 5.80580556e-04
1.83373737e+00, 5.90590585e-04
1.79071319e+00, 6.00600615e-04
1.74768972e+00, 6.10610645e-04
1.70466614e+00, 6.20620674e-04
1.66154408e+00, 6.30630704e-04
1.61829162e+00, 6.40640734e-04
1.57503951e+00, 6.50650763e-04
1.53197765e+00, 6.60660793e-04
1.49200559e+00, 6.70670823e-04
1.45203328e+00, 6.80680852e-04
1.41218174e+00, 6.90690882e-04
1.37243438e+00, 7.00700912e-04
1.33268666e+00, 7.10710941e-04
1.29293907e+00, 7.20720971e-04
1.25319111e+00, 7.30731001e-04
1.21344316e+00, 7.40741030e-04
1.17553437e+00, 7.50751060e-04
1.13907146e+00, 7.60761090e-04
1.10260868e+00, 7.70771119e-04
1.06614602e+00, 7.80781149e-04
1.02968323e+00, 7.90791179e-04
9.93220627e-01, 8.00801208e-04
9.57023323e-01, 8.10811238e-04
9.21774268e-01, 8.20821268e-04
8.90937030e-01, 8.30831297e-04
8.62293124e-01, 8.40841327e-04
8.33873630e-01, 8.50851357e-04
8.05454373e-01, 8.60861386e-04
7.77035058e-01, 8.70871416e-04
7.48615563e-01, 8.80881445e-04
7.20196128e-01, 8.90891475e-04
6.91776514e-01, 9.00901505e-04
6.67472899e-01, 9.10911534e-04
6.44782186e-01, 9.20921564e-04
6.22091413e-01, 9.30931594e-04
5.99400520e-01, 9.40941623e-04
5.76709628e-01, 9.50951653e-04
5.54018617e-01, 9.60961683e-04
5.31327665e-01, 9.70971712e-04
5.08821130e-01, 9.80981742e-04
4.90593106e-01, 9.90991713e-04
4.73422080e-01, 1.00100168e-03
4.56109643e-01, 1.01101166e-03
4.38797206e-01, 1.02102163e-03
4.21484768e-01, 1.03103160e-03
4.04172480e-01, 1.04104157e-03
3.86859894e-01, 1.05105154e-03
3.69547337e-01, 1.06106151e-03
3.54992777e-01, 1.07107149e-03
3.41526806e-01, 1.08108146e-03
3.28060806e-01, 1.09109143e-03
3.14594924e-01, 1.10110140e-03
3.01128894e-01, 1.11111137e-03
2.87662923e-01, 1.12112134e-03
2.74268478e-01, 1.13113131e-03
2.61506766e-01, 1.14114129e-03
2.51490712e-01, 1.15115126e-03
2.42627472e-01, 1.16116123e-03
2.33721226e-01, 1.17117120e-03
2.24814981e-01, 1.18118117e-03
2.15908721e-01, 1.19119114e-03
2.07002461e-01, 1.20120111e-03
1.98096201e-01, 1.21121109e-03
1.89189747e-01, 1.22122106e-03
1.80283308e-01, 1.23123103e-03
1.72125638e-01, 1.24124100e-03
1.65637970e-01, 1.25125097e-03
1.59150332e-01, 1.26126094e-03
1.52662635e-01, 1.27127091e-03
1.46174923e-01, 1.28128089e-03
1.39687195e-01, 1.29129086e-03
1.33199453e-01, 1.30130083e-03
1.26711726e-01, 1.31131080e-03
1.20223984e-01, 1.32132077e-03
1.13736227e-01, 1.33133074e-03
1.08786687e-01, 1.34134071e-03
1.04295053e-01, 1.35135069e-03
9.98034328e-02, 1.36136066e-03
9.53117982e-02, 1.37137063e-03
9.08201784e-02, 1.38138060e-03
8.63285661e-02, 1.39139057e-03
8.18369240e-02, 1.40140054e-03
7.73452371e-02, 1.41141051e-03
7.28535652e-02, 1.42142049e-03
6.83618933e-02, 1.43143046e-03
6.51916638e-02, 1.44144043e-03
6.21312112e-02, 1.45145040e-03
5.90707734e-02, 1.46146037e-03
5.60103208e-02, 1.47147034e-03
5.29498756e-02, 1.48148031e-03
4.98894379e-02, 1.49149029e-03
4.68289927e-02, 1.50150026e-03
4.37685475e-02, 1.51151023e-03
4.07117158e-02, 1.52152020e-03
3.76674011e-02, 1.53153017e-03
3.52781452e-02, 1.54154014e-03
3.34080569e-02, 1.55155011e-03
3.15375738e-02, 1.56156009e-03
2.96661016e-02, 1.57157006e-03
2.77946293e-02, 1.58158003e-03
2.59231590e-02, 1.59159000e-03
2.40516867e-02, 1.60159997e-03
2.21802201e-02, 1.61160994e-03
2.03087479e-02, 1.62161991e-03
1.84373055e-02, 1.63162989e-03
1.65658984e-02, 1.64163986e-03
1.46944895e-02, 1.65164983e-03
1.32089006e-02, 1.66165980e-03
1.19765922e-02, 1.67166977e-03
1.07442858e-02, 1.68167974e-03
9.51198675e-03, 1.69168971e-03
8.27968866e-03, 1.70169969e-03
7.04738963e-03, 1.71170966e-03
5.84104657e-03, 1.72171963e-03
4.65193018e-03, 1.73172960e-03
3.46281240e-03, 1.74173957e-03
2.27369484e-03, 1.75174954e-03
1.08456914e-03, 1.76175951e-03
-1.04559527e-04, 1.77176949e-03
-1.11902622e-03, 1.78177946e-03
-1.86232431e-03, 1.79178943e-03
-2.60562263e-03, 1.80179940e-03
-3.34892701e-03, 1.81180937e-03
-4.09223419e-03, 1.82181934e-03
-4.83554276e-03, 1.83182932e-03
-5.57885179e-03, 1.84183929e-03
-6.32216223e-03, 1.85184926e-03
-7.06547080e-03, 1.86185923e-03
-7.80877937e-03, 1.87186920e-03
-8.55249166e-03, 1.88187917e-03
-9.29746591e-03, 1.89188914e-03
-1.00424355e-02, 1.90189912e-03
-1.05277821e-02, 1.91190909e-03
-1.09948833e-02, 1.92191906e-03
-1.14539051e-02, 1.93192903e-03
-1.19129280e-02, 1.94193900e-03
-1.23719499e-02, 1.95194897e-03
-1.28309764e-02, 1.96195906e-03
-1.32900048e-02, 1.97196915e-03
-1.37490323e-02, 1.98197924e-03
-1.42080616e-02, 1.99198932e-03
-1.46670919e-02, 2.00199941e-03
-1.51261250e-02, 2.01200950e-03
-1.55851543e-02, 2.02201959e-03
-1.59140825e-02, 2.03202968e-03
-1.61398742e-02, 2.04203976e-03
-1.63656678e-02, 2.05204985e-03
-1.65914614e-02, 2.06205994e-03
-1.68172531e-02, 2.07207003e-03
-1.70430467e-02, 2.08208011e-03
-1.72688384e-02, 2.09209020e-03
-1.74946301e-02, 2.10210029e-03
-1.77204199e-02, 2.11211038e-03
-1.79392509e-02, 2.12212047e-03
-1.81548372e-02, 2.13213055e-03
-1.83704253e-02, 2.14214064e-03
-1.85860135e-02, 2.15215073e-03
-1.88015979e-02, 2.16216082e-03
-1.90171935e-02, 2.17217091e-03
-1.92327835e-02, 2.18218099e-03
-1.94483735e-02, 2.19219108e-03
-1.95923876e-02, 2.20220117e-03
-1.97079573e-02, 2.21221126e-03
-1.98235288e-02, 2.22222134e-03
-1.99390929e-02, 2.23223143e-03
-2.00546626e-02, 2.24224152e-03
-2.01702323e-02, 2.25225161e-03
-2.02857964e-02, 2.26226170e-03
-2.04013661e-02, 2.27227178e-03
-2.05169357e-02, 2.28228187e-03
-2.06325036e-02, 2.29229196e-03
-2.07480714e-02, 2.30230205e-03
-2.08636392e-02, 2.31231214e-03
-2.09792070e-02, 2.32232222e-03
-2.10947730e-02, 2.33233231e-03
-2.12099142e-02, 2.34234240e-03
-2.13225055e-02, 2.35235249e-03
-2.14171093e-02, 2.36236257e-03
-2.14631744e-02, 2.37237266e-03
-2.15092376e-02, 2.38238275e-03
-2.15553902e-02, 2.39239284e-03
-2.16017086e-02, 2.40240293e-03
-2.16480345e-02, 2.41241301e-03
-2.16943529e-02, 2.42242310e-03
-2.17406750e-02, 2.43243319e-03
-2.17869952e-02, 2.44244328e-03
-2.18333192e-02, 2.45245337e-03
-2.18796376e-02, 2.46246345e-03
-2.19259597e-02, 2.47247354e-03
-2.19722819e-02, 2.48248363e-03
-2.20186077e-02, 2.49249372e-03
-2.20649280e-02, 2.50250380e-03
-2.21112501e-02, 2.51251389e-03
-2.21575722e-02, 2.52252398e-03
-2.21741814e-02, 2.53253407e-03
-2.21831817e-02, 2.54254416e-03
-2.21921802e-02, 2.55255424e-03
-2.22011805e-02, 2.56256433e-03
-2.22101770e-02, 2.57257442e-03
-2.22191773e-02, 2.58258451e-03
-2.22281739e-02, 2.59259460e-03
-2.22371724e-02, 2.60260468e-03
-2.22461745e-02, 2.61261477e-03
-2.22551711e-02, 2.62262486e-03
-2.22641714e-02, 2.63263495e-03
-2.22731549e-02, 2.64264503e-03
-2.22820789e-02, 2.65265512e-03
-2.22910028e-02, 2.66266521e-03
-2.22999230e-02, 2.67267530e-03
-2.23088488e-02, 2.68268539e-03
-2.23177671e-02, 2.69269547e-03
-2.23266911e-02, 2.70270556e-03
-2.23305430e-02, 2.71271565e-03
-2.23196279e-02, 2.72272574e-03
-2.23087184e-02, 2.73273583e-03
-2.22978145e-02, 2.74274591e-03
-2.22868994e-02, 2.75275600e-03
-2.22759899e-02, 2.76276609e-03
-2.22650785e-02, 2.77277618e-03
-2.22541708e-02, 2.78278627e-03
-2.22429372e-02, 2.79279635e-03
-2.22314131e-02, 2.80280644e-03
-2.22198833e-02, 2.81281653e-03
-2.22083591e-02, 2.82282662e-03
-2.21968312e-02, 2.83283670e-03
-2.21853051e-02, 2.84284679e-03
-2.21737772e-02, 2.85285688e-03
-2.21622493e-02, 2.86286697e-03
-2.21507214e-02, 2.87287706e-03
-2.21391972e-02, 2.88288714e-03
-2.21276693e-02, 2.89289723e-03
-2.21161433e-02, 2.90290732e-03
-2.21046135e-02, 2.91291741e-03
-2.20914651e-02, 2.92292750e-03
-2.20701415e-02, 2.93293758e-03
-2.20488161e-02, 2.94294767e-03
-2.20274907e-02, 2.95295776e-03
-2.20061634e-02, 2.96296785e-03
-2.19848417e-02, 2.97297793e-03
-2.19635107e-02, 2.98298802e-03
-2.19421890e-02, 2.99299811e-03
-2.19208598e-02, 3.00300820e-03
-2.18995344e-02, 3.01301829e-03
-2.18782090e-02, 3.02302837e-03
-2.18568854e-02, 3.03303846e-03
-2.18355563e-02, 3.04304855e-03
-2.18142346e-02, 3.05305864e-03
-2.17929054e-02, 3.06306873e-03
-2.17715837e-02, 3.07307881e-03
-2.17502527e-02, 3.08308890e-03
-2.17289291e-02, 3.09309899e-03
-2.17076018e-02, 3.10310908e-03
-2.16862783e-02, 3.11311916e-03
-2.16648765e-02, 3.12312925e-03
-2.16434505e-02, 3.13313934e-03
-2.16211528e-02, 3.14314943e-03
-2.15948261e-02, 3.15315952e-03
-2.15687733e-02, 3.16316960e-03
-2.15429030e-02, 3.17317969e-03
-2.15170346e-02, 3.18318978e-03
-2.14911662e-02, 3.19319987e-03
-2.14652978e-02, 3.20320996e-03
-2.14394275e-02, 3.21322004e-03
-2.14135591e-02, 3.22323013e-03
-2.13876888e-02, 3.23324022e-03
-2.13618204e-02, 3.24325031e-03
-2.13359520e-02, 3.25326039e-03
-2.13100836e-02, 3.26327048e-03
-2.12842170e-02, 3.27328057e-03
-2.12583467e-02, 3.28329066e-03
-2.12324783e-02, 3.29330075e-03
-2.12066099e-02, 3.30331083e-03
-2.11807415e-02, 3.31332092e-03
-2.11548712e-02, 3.32333101e-03
-2.11290047e-02, 3.33334110e-03
-2.11031362e-02, 3.34335119e-03
-2.10772678e-02, 3.35336127e-03
-2.10513994e-02, 3.36337136e-03
-2.10242830e-02, 3.37338145e-03
-2.09964737e-02, 3.38339154e-03
-2.09686644e-02, 3.39340162e-03
-2.09408607e-02, 3.40341171e-03
-2.09130496e-02, 3.41342180e-03
-2.08852440e-02, 3.42343189e-03
-2.08574384e-02, 3.43344198e-03
-2.08296310e-02, 3.44345206e-03
-2.08018236e-02, 3.45346215e-03
-2.07740143e-02, 3.46347224e-03
-2.07462087e-02, 3.47348233e-03
-2.07184013e-02, 3.48349242e-03
-2.06905901e-02, 3.49350250e-03
-2.06627846e-02, 3.50351259e-03
-2.06349753e-02, 3.51352268e-03
-2.06071697e-02, 3.52353277e-03
-2.05793604e-02, 3.53354285e-03
-2.05515530e-02, 3.54355294e-03
-2.05237456e-02, 3.55356303e-03
-2.04959344e-02, 3.56357312e-03
-2.04681270e-02, 3.57358321e-03
-2.04403177e-02, 3.58359329e-03
-2.04125121e-02, 3.59360338e-03
-2.03846730e-02, 3.60361347e-03
-2.03567501e-02, 3.61362356e-03
-2.03288272e-02, 3.62363365e-03
-2.03009043e-02, 3.63364373e-03
-2.02729814e-02, 3.64365382e-03
-2.02450603e-02, 3.65366391e-03
-2.02171355e-02, 3.66367400e-03
-2.01892108e-02, 3.67368408e-03
-2.01612897e-02, 3.68369417e-03
-2.01333649e-02, 3.69370426e-03
-2.01054402e-02, 3.70371435e-03
-2.00775191e-02, 3.71372444e-03
-2.00495943e-02, 3.72373452e-03
-2.00216714e-02, 3.73374461e-03
-1.99937485e-02, 3.74375470e-03
-1.99658275e-02, 3.75376479e-03
-1.99379008e-02, 3.76377488e-03
-1.99099798e-02, 3.77378496e-03
-1.98820569e-02, 3.78379505e-03
-1.98541339e-02, 3.79380514e-03
-1.98262092e-02, 3.80381523e-03
-1.97982863e-02, 3.81382531e-03
-1.97703652e-02, 3.82383540e-03
-1.97424386e-02, 3.83384549e-03
-1.97145231e-02, 3.84385558e-03
-1.96866710e-02, 3.85386567e-03
-1.96588226e-02, 3.86387575e-03
-1.96309760e-02, 3.87388584e-03
-1.96031258e-02, 3.88389593e-03
-1.95752736e-02, 3.89390602e-03
-1.95474252e-02, 3.90391611e-03
-1.95195768e-02, 3.91392596e-03
-1.94917265e-02, 3.92393582e-03
-1.94638800e-02, 3.93394567e-03
-1.94360204e-02, 3.94395553e-03
-1.94081515e-02, 3.95396538e-03
-1.93802882e-02, 3.96397524e-03
-1.93524249e-02, 3.97398509e-03
-1.93245597e-02, 3.98399495e-03
-1.92966945e-02, 3.99400480e-03
-1.92688294e-02, 4.00401466e-03
-1.92409642e-02, 4.01402451e-03
-1.92130990e-02, 4.02403437e-03
-1.91852301e-02, 4.03404422e-03
-1.91573631e-02, 4.04405408e-03
