u,y
0.00000000e+00, 0.00000000e+00
1.31759256e-01, 1.00100096e-05
2.63515174e-01, 2.00200193e-05
3.95271361e-01, 3.00300289e-05
5.26730239e-01, 4.00400386e-05
6.58952057e-01, 5.00500464e-05
7.91173697e-01, 6.00600542e-05
9.23394918e-01, 7.00700621e-05
1.05389607e+00, 8.00800699e-05
1.18431413e+00, 9.00900777e-05
1.31473184e+00, 1.00100086e-04
1.44347703e+00, 1.10110093e-04
1.56916046e+00, 1.20120101e-04
1.69484305e+00, 1.30130109e-04
1.82052743e+00, 1.40140124e-04
1.93939614e+00, 1.50150139e-04
2.05783987e+00, 1.60160154e-04
2.17629290e+00, 1.70170169e-04
2.29057527e+00, 1.80180185e-04
2.39930272e+00, 1.90190200e-04
2.50796795e+00, 2.00200215e-04
2.61663580e+00, 2.10210230e-04
2.71278691e+00, 2.20220245e-04
2.80645776e+00, 2.30230260e-04
2.90012932e+00, 2.40240275e-04
2.99368787e+00, 2.50250276e-04
3.06116724e+00, 2.60260276e-04
3.12289786e+00, 2.70270277e-04
3.18462753e+00, 2.80280277e-04
3.24635816e+00, 2.90290278e-04
3.30808783e+00, 3.00300278e-04
3.34720135e+00, 3.10310279e-04
3.37997818e+00, 3.20320280e-04
3.41275477e+00, 3.30330280e-04
3.44500446e+00, 3.40340281e-04
3.47723055e+00, 3.50350281e-04
3.50133181e+00, 3.60360282e-04
3.50026941e+00, 3.70370282e-04
3.49920678e+00, 3.80380283e-04
3.49814415e+00, 3.90390283e-04
3.49708080e+00, 4.00400284e-04
3.49601793e+00, 4.10410285e-04
3.49520206e+00, 4.20420285e-04
3.47540474e+00, 4.30430286e-04
3.44539857e+00, 4.40440286e-04
3.41539240e+00, 4.50450287e-04
3.38537979e+00, 4.60460287e-04
3.35511541e+00, 4.70470288e-04
3.32484436e+00, 4.80480288e-04
3.29457378e+00, 4.90490289e-04
3.24801016e+00, 5.00500319e-04
3.19691372e+00, 5.10510348e-04
3.14625621e+00, 5.20520378e-04
3.09559822e+00, 5.30530408e-04
3.04494071e+00, 5.40540437e-04
2.99428368e+00, 5.50550467e-04
2.94362712e+00, 5.60560497e-04
2.87990522e+00, 5.70570526e-04
2.81080341e+00, 5.80580556e-04
2.74170113e+00, 5.90590585e-04
2.67259932e+00, 6.00600615e-04
2.60457587e+00, 6.10610645e-04
2.53794575e+00, 6.20620674e-04
2.47149014e+00, 6.30630704e-04
2.40527558e+00, 6.40640734e-04
2.33906174e+00, 6.50650763e-04
2.27284718e+00, 6.60660793e-04
2.20663238e+00, 6.70670823e-04
2.14018536e+00, 6.80680852e-04
2.07186413e+00, 6.90690882e-04
2.00449395e+00, 7.00700912e-04
1.94011688e+00, 7.10710941e-04
1.87574005e+00, 7.20720971e-04
1.81136394e+00, 7.30731001e-04
1.74698734e+00, 7.40741030e-04
1.68261099e+00, 7.50751060e-04
1.61823487e+00, 7.60761090e-04
1.55594170e+00, 7.70771119e-04
1.50488317e+00, 7.80781149e-04
1.45416570e+00, 7.90791179e-04
1.40332043e+00, 8.00801208e-04
1.35247469e+00, 8.10811238e-04
1.30162919e+00, 8.20821268e-04
1.25078380e+00, 8.30831297e-04
1.19993794e+00, 8.40841327e-04
1.14909196e+00, 8.50851357e-04
1.10618973e+00, 8.60861386e-04
1.06345510e+00, 8.70871416e-04
1.02072048e+00, 8.80881445e-04
9.77985740e-01, 8.90891475e-04
9.35251117e-01, 9.00901505e-04
8.92516613e-01, 9.10911534e-04
8.50031674e-01, 9.20921564e-04
8.08951557e-01, 9.30931594e-04
7.78254867e-01, 9.40941623e-04
7.52296627e-01, 9.50951653e-04
7.26338565e-01, 9.60961683e-04
7.00380623e-01, 9.70971712e-04
6.74422503e-01, 9.80981742e-04
6.48464680e-01, 9.90991713e-04
6.22506797e-01, 1.00100168e-03
5.96548975e-01, 1.01101166e-03
5.70591092e-01, 1.02102163e-03
5.44633627e-01, 1.03103160e-03
5.18676281e-01, 1.04104157e-03
4.99090075e-01, 1.05105154e-03
4.80853796e-01, 1.06106151e-03
4.62578177e-01, 1.07107149e-03
4.44270134e-01, 1.08108146e-03
4.25962150e-01, 1.09109143e-03
4.07654107e-01, 1.10110140e-03
3.89346212e-01, 1.11111137e-03
3.71038318e-01, 1.12112134e-03
3.52730483e-01, 1.13113131e-03
3.34422678e-01, 1.14114129e-03
3.16114843e-01, 1.15115126e-03
3.01139802e-01, 1.16116123e-03
2.89223194e-01, 1.17117120e-03
2.77306765e-01, 1.18118117e-03
2.65390396e-01, 1.19119114e-03
2.54413605e-01, 1.20120111e-03
2.43578315e-01, 1.21121109e-03
2.32743025e-01, 1.22122106e-03
2.21907675e-01, 1.23123103e-03
2.11072594e-01, 1.24124100e-03
2.00237527e-01, 1.25125097e-03
1.89402461e-01, 1.26126094e-03
1.79240122e-01, 1.27127091e-03
1.71495825e-01, 1.28128089e-03
1.63751572e-01, 1.29129086e-03
1.56007260e-01, 1.30130083e-03
1.48259252e-01, 1.31131080e-03
1.41238987e-01, 1.32132077e-03
1.34215891e-01, 1.33133074e-03
1.27192810e-01, 1.34134071e-03
1.20169483e-01, 1.35135069e-03
1.13146141e-01, 1.36136066e-03
1.07140809e-01, 1.37137063e-03
1.02553777e-01, 1.38138060e-03
9.79667306e-02, 1.39139057e-03
9.33796912e-02, 1.40140054e-03
8.87926370e-02, 1.41141051e-03
8.42055976e-02, 1.42142049e-03
7.99484551e-02, 1.43143046e-03
7.57524744e-02, 1.44144043e-03
7.15564191e-02, 1.45145040e-03
6.73603266e-02, 1.46146037e-03
6.41708970e-02, 1.47147034e-03
6.13570586e-02, 1.48148031e-03
5.85432053e-02, 1.49149029e-03
5.57293668e-02, 1.50150026e-03
5.29155545e-02, 1.51151023e-03
5.01017347e-02, 1.52152020e-03
4.72879186e-02, 1.53153017e-03
4.45012338e-02, 1.54154014e-03
4.18896973e-02, 1.55155011e-03
3.92781645e-02, 1.56156009e-03
