u,y
0.00000000e+00, 0.00000000e+00
1.53012902e-01, 1.00100096e-05
3.06021959e-01, 2.00200193e-05
4.59031284e-01, 3.00300289e-05
6.11741066e-01, 4.00400386e-05
7.65411019e-01, 5.00500464e-05
9.19080675e-01, 6.00600542e-05
1.07274973e+00, 7.00700621e-05
1.22408569e+00, 8.00800699e-05
1.37530911e+00, 9.00900777e-05
1.52653217e+00, 1.00100086e-04
1.67537308e+00, 1.10110093e-04
1.82008147e+00, 1.20120101e-04
1.96478891e+00, 1.30130109e-04
2.10949826e+00, 1.40140124e-04
2.24485207e+00, 1.50150139e-04
2.37962151e+00, 1.60160154e-04
2.51440048e+00, 1.70170169e-04
2.64342380e+00, 1.80180185e-04
2.76494789e+00, 1.90190200e-04
2.88640118e+00, 2.00200215e-04
3.00785804e+00, 2.10210230e-04
3.11237764e+00, 2.20220245e-04
3.21354127e+00, 2.30230260e-04
3.31470585e+00, 2.40240275e-04
3.41574860e+00, 2.50250276e-04
3.48454905e+00, 2.60260276e-04
3.54627895e+00, 2.70270277e-04
3.60800838e+00, 2.80280277e-04
3.66973829e+00, 2.90290278e-04
3.73146725e+00, 3.00300278e-04
3.76540518e+00, 3.10310279e-04
3.79155588e+00, 3.20320280e-04
3.81770658e+00, 3.30330280e-04
3.84368587e+00, 3.40340281e-04
3.86965799e+00, 3.50350281e-04
3.88647556e+00, 3.60360282e-04
3.87494326e+00, 3.70370282e-04
3.86341095e+00, 3.80380283e-04
3.85187864e+00, 3.90390283e-04
3.84034586e+00, 4.00400284e-04
3.82881355e+00, 4.10410285e-04
3.81750464e+00, 4.20420285e-04
3.78441143e+00, 4.30430286e-04
3.73965430e+00, 4.40440286e-04
3.69489765e+00, 4.50450287e-04
3.65013075e+00, 4.60460287e-04
3.60506558e+00, 4.70470288e-04
3.55999041e+00, 4.80480288e-04
3.51491547e+00, 4.90490289e-04
3.45365238e+00, 5.00500319e-04
3.38835192e+00, 5.10510348e-04
3.32355213e+00, 5.20520378e-04
3.25875235e+00, 5.30530408e-04
3.19395328e+00, 5.40540437e-04
3.12915421e+00, 5.50550467e-04
3.06435585e+00, 5.60560497e-04
2.98756146e+00, 5.70570526e-04
2.90582824e+00, 5.80580556e-04
2.82409477e+00, 5.90590585e-04
2.74236155e+00, 6.00600615e-04
2.66217184e+00, 6.10610645e-04
2.58397818e+00, 6.20620674e-04
2.50759506e+00, 6.30630704e-04
2.43370676e+00, 6.40640734e-04
2.35981941e+00, 6.50650763e-04
2.28593135e+00, 6.60660793e-04
2.21204305e+00, 6.70670823e-04
2.13796091e+00, 6.80680852e-04
2.06231689e+00, 6.90690882e-04
1.98840666e+00, 7.00700912e-04
1.91995287e+00, 7.10710941e-04
1.85149980e+00, 7.20720971e-04
1.78304720e+00, 7.30731001e-04
1.71459413e+00, 7.40741030e-04
1.64614141e+00, 7.50751060e-04
1.57768869e+00, 7.60761090e-04
1.51169086e+00, 7.70771119e-04
1.45946074e+00, 7.80781149e-04
1.40765202e+00, 7.90791179e-04
1.35568619e+00, 8.00801208e-04
1.30372000e+00, 8.10811238e-04
1.25175393e+00, 8.20821268e-04
1.19978786e+00, 8.30831297e-04
1.14782166e+00, 8.40841327e-04
1.09585512e+00, 8.50851357e-04
1.05322158e+00, 8.60861386e-04
1.01078486e+00, 8.70871416e-04
9.68348205e-01, 8.80881445e-04
9.25911665e-01, 8.90891475e-04
8.83474946e-01, 9.00901505e-04
8.41038465e-01, 9.10911534e-04
7.98860848e-01, 9.20921564e-04
7.58139908e-01, 9.30931594e-04
7.28268743e-01, 9.40941623e-04
7.03097999e-01, 9.50951653e-04
6.77927375e-01, 9.60961683e-04
6.52756870e-01, 9.70971712e-04
6.27586246e-01, 9.80981742e-04
6.02415860e-01, 9.90991713e-04
5.77245474e-01, 1.00100168e-03
5.52075028e-01, 1.01101166e-03
5.26904643e-01, 1.02102163e-03
5.01734614e-01, 1.03103160e-03
4.76564646e-01, 1.04104157e-03
4.57883388e-01, 1.05105154e-03
4.40576822e-01, 1.06106151e-03
4.23250854e-01, 1.07107149e-03
4.05908942e-01, 1.08108146e-03
3.88567120e-01, 1.09109143e-03
3.71225238e-01, 1.10110140e-03
3.53883445e-01, 1.11111137e-03
3.36541742e-01, 1.12112134e-03
3.19200009e-01, 1.13113131e-03
3.01858366e-01, 1.14114129e-03
2.84516692e-01, 1.15115126e-03
2.70485222e-01, 1.16116123e-03
2.59491384e-01, 1.17117120e-03
2.48497814e-01, 1.18118117e-03
2.37504259e-01, 1.19119114e-03
2.27411240e-01, 1.20120111e-03
2.17453808e-01, 1.21121109e-03
2.07496405e-01, 1.22122106e-03
1.97538927e-01, 1.23123103e-03
1.87581703e-01, 1.24124100e-03
1.77624509e-01, 1.25125097e-03
1.67667329e-01, 1.26126094e-03
1.58373505e-01, 1.27127091e-03
1.51464254e-01, 1.28128089e-03
1.44555002e-01, 1.29129086e-03
1.37645721e-01, 1.30130083e-03
1.30733162e-01, 1.31131080e-03
1.24486998e-01, 1.32132077e-03
1.18238337e-01, 1.33133074e-03
1.11989684e-01, 1.34134071e-03
1.05740815e-01, 1.35135069e-03
9.94919389e-02, 1.36136066e-03
9.41947252e-02, 1.37137063e-03
9.02234167e-02, 1.38138060e-03
