u,y
2.50000000e+00, 0.00000000e+00
2.81295323e+00, 1.00100096e-05
3.12590694e+00, 2.00200193e-05
3.43886042e+00, 3.00300289e-05
3.75181818e+00, 4.00400386e-05
3.95284367e+00, 5.00500464e-05
3.86624193e+00, 6.00600542e-05
3.77963662e+00, 7.00700621e-05
3.73111343e+00, 8.00800699e-05
3.69659901e+00, 9.00900777e-05
3.61641407e+00, 1.00100086e-04
3.51605654e+00, 1.10110093e-04
3.41569805e+00, 1.20120101e-04
3.31714916e+00, 1.30130109e-04
3.21990967e+00, 1.40140124e-04
3.12237787e+00, 1.50150139e-04
3.02514863e+00, 1.60160154e-04
2.92791986e+00, 1.70170169e-04
2.83342409e+00, 1.80180185e-04
2.74024582e+00, 1.90190200e-04
2.64708853e+00, 2.00200215e-04
2.55820036e+00, 2.10210230e-04
2.47266030e+00, 2.20220245e-04
2.38757539e+00, 2.30230260e-04
2.30444551e+00, 2.40240275e-04
2.22158742e+00, 2.50250276e-04
2.13804817e+00, 2.60260276e-04
2.05849028e+00, 2.70270277e-04
1.98184884e+00, 2.80280277e-04
1.90789771e+00, 2.90290278e-04
1.83683157e+00, 3.00300278e-04
1.77147365e+00, 3.10310279e-04
1.70645905e+00, 3.20320280e-04
1.64131021e+00, 3.30330280e-04
1.58007193e+00, 3.40340281e-04
1.52139044e+00, 3.50350281e-04
1.46270788e+00, 3.60360282e-04
1.40510261e+00, 3.70370282e-04
1.34813988e+00, 3.80380283e-04
1.29165518e+00, 3.90390283e-04
1.23969245e+00, 4.00400284e-04
1.19049037e+00, 4.10410285e-04
1.14128375e+00, 4.20420285e-04
1.09238505e+00, 4.30430286e-04
1.04787707e+00, 4.40440286e-04
1.00373268e+00, 4.50450287e-04
9.59588170e-01, 4.60460287e-04
9.17998970e-01, 4.70470288e-04
8.81773472e-01, 4.80480288e-04
8.45456541e-01, 4.90490289e-04
8.08868527e-01, 5.00500319e-04
7.74018586e-01, 5.10510348e-04
7.41025567e-01, 5.20520378e-04
7.08032310e-01, 5.30530408e-04
6.75745964e-01, 5.40540437e-04
6.47049427e-01, 5.50550467e-04
6.19161487e-01, 5.60560497e-04
5.92342138e-01, 5.70570526e-04
5.66642463e-01, 5.80580556e-04
5.42765081e-01, 5.90590585e-04
5.18888712e-01, 6.00600615e-04
4.95509207e-01, 6.10610645e-04
4.73557323e-01, 6.20620674e-04
4.51828063e-01, 6.30630704e-04
4.29903209e-01, 6.40640734e-04
4.09078568e-01, 6.50650763e-04
3.91094297e-01, 6.60660793e-04
3.73573542e-01, 6.70670823e-04
3.56052816e-01, 6.80680852e-04
3.39483529e-01, 6.90690882e-04
3.23251396e-01, 7.00700912e-04
3.08221608e-01, 7.10710941e-04
2.93823153e-01, 7.20720971e-04
2.80588031e-01, 7.30731001e-04
