u,y
0.00000000e+00, 0.00000000e+00
1.21303044e-01, 1.00100096e-05
2.42606744e-01, 2.00200193e-05
3.63909900e-01, 3.00300289e-05
4.82437432e-01, 4.00400386e-05
5.98052204e-01, 5.00500464e-05
7.12332606e-01, 6.00600542e-05
8.25392544e-01, 7.00700621e-05
9.38202739e-01, 8.00800699e-05
1.04977942e+00, 9.00900777e-05
1.16135609e+00, 1.00100086e-04
1.27293432e+00, 1.10110093e-04
1.37955368e+00, 1.20120101e-04
1.48521960e+00, 1.30130109e-04
1.58841026e+00, 1.40140124e-04
1.68884683e+00, 1.50150139e-04
1.78928292e+00, 1.60160154e-04
1.88218784e+00, 1.70170169e-04
1.96441722e+00, 1.80180185e-04
2.04664707e+00, 1.90190200e-04
2.12887740e+00, 2.00200215e-04
2.21110678e+00, 2.10210230e-04
2.28525496e+00, 2.20220245e-04
2.33983660e+00, 2.30230260e-04
2.38928509e+00, 2.40240275e-04
2.43873310e+00, 2.50250276e-04
2.48818159e+00, 2.60260276e-04
2.53763032e+00, 2.70270277e-04
2.56148100e+00, 2.80280277e-04
2.58026838e+00, 2.90290278e-04
2.59133029e+00, 3.00300278e-04
2.59973383e+00, 3.10310279e-04
2.60813808e+00, 3.20320280e-04
2.60923791e+00, 3.30330280e-04
2.59150410e+00, 3.40340281e-04
2.57377028e+00, 3.50350281e-04
2.55603647e+00, 3.60360282e-04
2.53830242e+00, 3.70370282e-04
2.52056861e+00, 3.80380283e-04
2.49732566e+00, 3.90390283e-04
2.45620894e+00, 4.00400284e-04
2.41509223e+00, 4.10410285e-04
2.37397528e+00, 4.20420285e-04
2.33285832e+00, 4.30430286e-04
2.29174209e+00, 4.40440286e-04
2.24741721e+00, 4.50450287e-04
2.19917417e+00, 4.60460287e-04
2.15093040e+00, 4.70470288e-04
2.10268664e+00, 4.80480288e-04
2.05444312e+00, 4.90490289e-04
2.00619936e+00, 5.00500319e-04
1.95382941e+00, 5.10510348e-04
1.89582694e+00, 5.20520378e-04
1.83776891e+00, 5.30530408e-04
1.77971148e+00, 5.40540437e-04
1.72165370e+00, 5.50550467e-04
1.66436148e+00, 5.60560497e-04
1.61132050e+00, 5.70570526e-04
1.55914819e+00, 5.80580556e-04
1.50697601e+00, 5.90590585e-04
1.45480347e+00, 6.00600615e-04
1.40263093e+00, 6.10610645e-04
1.35321236e+00, 6.20620674e-04
1.30759168e+00, 6.30630704e-04
1.26197124e+00, 6.40640734e-04
1.21635103e+00, 6.50650763e-04
1.17073703e+00, 6.60660793e-04
1.12515926e+00, 6.70670823e-04
1.08410120e+00, 6.80680852e-04
1.04596841e+00, 6.90690882e-04
1.00783539e+00, 7.00700912e-04
9.69702542e-01, 7.10710941e-04
9.31569815e-01, 7.20720971e-04
8.93436909e-01, 7.30731001e-04
8.60053897e-01, 7.40741030e-04
8.28564644e-01, 7.50751060e-04
7.97633290e-01, 7.60761090e-04
7.66701698e-01, 7.70771119e-04
7.35770345e-01, 7.80781149e-04
7.04838753e-01, 7.90791179e-04
6.74026608e-01, 8.00801208e-04
6.47928834e-01, 8.10811238e-04
6.21830761e-01, 8.20821268e-04
5.96750379e-01, 8.30831297e-04
5.73456645e-01, 8.40841327e-04
5.50163209e-01, 8.50851357e-04
5.26870012e-01, 8.60861386e-04
5.03576756e-01, 8.70871416e-04
4.84060496e-01, 8.80881445e-04
4.65152919e-01, 8.90891475e-04
4.46244895e-01, 9.00901505e-04
4.27336633e-01, 9.10911534e-04
4.08649892e-01, 9.20921564e-04
3.91416937e-01, 9.30931594e-04
3.74183625e-01, 9.40941623e-04
3.58990848e-01, 9.50951653e-04
3.44942153e-01, 9.60961683e-04
3.30893487e-01, 9.70971712e-04
3.16844851e-01, 9.80981742e-04
3.02796245e-01, 9.90991713e-04
2.88747609e-01, 1.00100168e-03
2.74699003e-01, 1.01101166e-03
2.62179315e-01, 1.02102163e-03
2.51558363e-01, 1.03103160e-03
2.40937427e-01, 1.04104157e-03
2.30316490e-01, 1.05105154e-03
2.19695568e-01, 1.06106151e-03
2.09074631e-01, 1.07107149e-03
1.98453605e-01, 1.08108146e-03
1.89498231e-01, 1.09109143e-03
1.81258142e-01, 1.10110140e-03
1.73017904e-01, 1.11111137e-03
1.64777666e-01, 1.12112134e-03
1.56956077e-01, 1.13113131e-03
1.49188057e-01, 1.14114129e-03
1.41420141e-01, 1.15115126e-03
1.34897500e-01, 1.16116123e-03
1.28590882e-01, 1.17117120e-03
1.22326165e-01, 1.18118117e-03
1.15977466e-01, 1.19119114e-03
1.09670743e-01, 1.20120111e-03
1.03290372e-01, 1.21121109e-03
9.71635208e-02, 1.22122106e-03
9.30201411e-02, 1.23123103e-03
8.92040879e-02, 1.24124100e-03
8.53880271e-02, 1.25125097e-03
8.15719441e-02, 1.26126094e-03
7.77558684e-02, 1.27127091e-03
7.39397854e-02, 1.28128089e-03
7.01237023e-02, 1.29129086e-03
6.63076118e-02, 1.30130083e-03
6.25054613e-02, 1.31131080e-03
5.88559397e-02, 1.32132077e-03
5.58551364e-02, 1.33133074e-03
5.29116318e-02, 1.34134071e-03
4.99681309e-02, 1.35135069e-03
4.69767116e-02, 1.36136066e-03
4.39523496e-02, 1.37137063e-03
4.09279950e-02, 1.38138060e-03
3.79036404e-02, 1.39139057e-03
3.48792970e-02, 1.40140054e-03
3.26221064e-02, 1.41141051e-03
3.04135196e-02, 1.42142049e-03
2.83835456e-02, 1.43143046e-03
2.63565462e-02, 1.44144043e-03
2.43295450e-02, 1.45145040e-03
2.23025456e-02, 1.46146037e-03
2.02755574e-02, 1.47147034e-03
1.82485655e-02, 1.48148031e-03
1.65471584e-02, 1.49149029e-03
1.50975157e-02, 1.50150026e-03
1.36478739e-02, 1.51151023e-03
1.21982247e-02, 1.52152020e-03
1.07485773e-02, 1.53153017e-03
9.34823509e-03, 1.54154014e-03
8.01352970e-03, 1.55155011e-03
6.67882524e-03, 1.56156009e-03
5.34410728e-03, 1.57157006e-03
4.05410724e-03, 1.58158003e-03
3.10753658e-03, 1.59159000e-03
2.16096593e-03, 1.60159997e-03
1.21439551e-03, 1.61160994e-03
2.67823343e-04, 1.62161991e-03
-6.78746845e-04, 1.63162989e-03
-1.62531738e-03, 1.64163986e-03
-2.57188827e-03, 1.65164983e-03
-3.45734856e-03, 1.66165980e-03
-4.31516068e-03, 1.67166977e-03
-5.17298048e-03, 1.68167974e-03
-5.91270439e-03, 1.69168971e-03
-6.50307816e-03, 1.70169969e-03
-7.09345192e-03, 1.71170966e-03
-7.68382614e-03, 1.72171963e-03
-8.27420130e-03, 1.73172960e-03
-8.86457227e-03, 1.74173957e-03
-9.45494324e-03, 1.75174954e-03
-1.00453161e-02, 1.76175951e-03
-1.06194559e-02, 1.77176949e-03
-1.11267343e-02, 1.78177946e-03
-1.16340108e-02, 1.79178943e-03
-1.21412836e-02, 1.80179940e-03
-1.25981448e-02, 1.81180937e-03
-1.29340393e-02, 1.82181934e-03
-1.32699320e-02, 1.83182932e-03
-1.36058293e-02, 1.84183929e-03
-1.39417220e-02, 1.85184926e-03
-1.42776184e-02, 1.86185923e-03
-1.46135129e-02, 1.87186920e-03
-1.49494121e-02, 1.88187917e-03
-1.52853075e-02, 1.89188914e-03
-1.56068411e-02, 1.90189912e-03
-1.59042850e-02, 1.91190909e-03
-1.62017271e-02, 1.92191906e-03
-1.64991729e-02, 1.93192903e-03
-1.67737771e-02, 1.94193900e-03
-1.69689059e-02, 1.95194897e-03
-1.71640404e-02, 1.96195906e-03
-1.73591692e-02, 1.97196915e-03
-1.75543018e-02, 1.98197924e-03
-1.77494381e-02, 1.99198932e-03
-1.79445706e-02, 2.00199941e-03
-1.81397051e-02, 2.01200950e-03
-1.83348395e-02, 2.02201959e-03
-1.85261685e-02, 2.03202968e-03
-1.86863523e-02, 2.04203976e-03
-1.88465379e-02, 2.05204985e-03
-1.90067254e-02, 2.06205994e-03
-1.91669092e-02, 2.07207003e-03
-1.92704163e-02, 2.08208011e-03
-1.93582959e-02, 2.09209020e-03
-1.94461830e-02, 2.10210029e-03
-1.95340570e-02, 2.11211038e-03
-1.96219422e-02, 2.12212047e-03
-1.97090004e-02, 2.13213055e-03
-1.97977051e-02, 2.14214064e-03
-1.98855884e-02, 2.15215073e-03
-1.99734718e-02, 2.16216082e-03
-2.00613532e-02, 2.17217091e-03
-2.01492347e-02, 2.18218099e-03
-2.02371180e-02, 2.19219108e-03
-2.03232765e-02, 2.20220117e-03
-2.04036124e-02, 2.21221126e-03
