u,y
0.00000000e+00, 0.00000000e+00
4.94859135e-03, 1.00100096e-05
9.89705883e-03, 2.00200193e-05
1.48455342e-02, 3.00300289e-05
1.97819062e-02, 4.00400386e-05
2.47444846e-02, 5.00500464e-05
2.97070593e-02, 6.00600542e-05
3.46696079e-02, 7.00700621e-05
3.96282449e-02, 8.00800699e-05
4.45866771e-02, 9.00900777e-05
4.95451018e-02, 1.00100086e-04
5.45147881e-02, 1.10110093e-04
5.94724193e-02, 1.20120101e-04
6.44300207e-02, 1.30130109e-04
6.93876892e-02, 1.40140124e-04
7.43797570e-02, 1.50150139e-04
7.93741047e-02, 1.60160154e-04
8.43689144e-02, 1.70170169e-04
8.94120708e-02, 1.80180185e-04
9.44873914e-02, 1.90190200e-04
9.95600522e-02, 2.00200215e-04
1.04632840e-01, 2.10210230e-04
1.09820530e-01, 2.20220245e-04
1.15030989e-01, 2.30230260e-04
1.20241493e-01, 2.40240275e-04
1.25445411e-01, 2.50250276e-04
1.30297288e-01, 2.60260276e-04
1.35061592e-01, 2.70270277e-04
1.39825851e-01, 2.80280277e-04
1.44590154e-01, 2.90290278e-04
1.49354413e-01, 3.00300278e-04
1.54318199e-01, 3.10310279e-04
1.59337968e-01, 3.20320280e-04
1.64357737e-01, 3.30330280e-04
1.69201493e-01, 3.40340281e-04
1.74037248e-01, 3.50350281e-04
1.78821832e-01, 3.60360282e-04
1.83447734e-01, 3.70370282e-04
1.88073620e-01, 3.80380283e-04
1.92699462e-01, 3.90390283e-04
1.97325289e-01, 4.00400284e-04
2.01951087e-01, 4.10410285e-04
2.06595749e-01, 4.20420285e-04
2.11132750e-01, 4.30430286e-04
2.15596303e-01, 4.40440286e-04
2.20059872e-01, 4.50450287e-04
2.24524528e-01, 4.60460287e-04
2.29003966e-01, 4.70470288e-04
2.33484581e-01, 4.80480288e-04
2.37965196e-01, 4.90490289e-04
2.42284894e-01, 5.00500319e-04
2.46359527e-01, 5.10510348e-04
2.50410706e-01, 5.20520378e-04
2.54461855e-01, 5.30530408e-04
2.58513063e-01, 5.40540437e-04
2.62564182e-01, 5.50550467e-04
2.66615272e-01, 5.60560497e-04
2.70806193e-01, 5.70570526e-04
2.75054544e-01, 5.80580556e-04
2.79302865e-01, 5.90590585e-04
2.83551216e-01, 6.00600615e-04
2.87698239e-01, 6.10610645e-04
2.91714340e-01, 6.20620674e-04
2.95560241e-01, 6.30630704e-04
2.99171895e-01, 6.40640734e-04
3.02783668e-01, 6.50650763e-04
3.06395382e-01, 6.60660793e-04
3.10007155e-01, 6.70670823e-04
3.13625097e-01, 6.80680852e-04
3.17292750e-01, 6.90690882e-04
3.20887715e-01, 7.00700912e-04
3.24253440e-01, 7.10710941e-04
3.27618986e-01, 7.20720971e-04
3.30984592e-01, 7.30731001e-04
3.34350288e-01, 7.40741030e-04
3.37715924e-01, 7.50751060e-04
3.41081500e-01, 7.60761090e-04
3.44340414e-01, 7.70771119e-04
3.46997559e-01, 7.80781149e-04
3.49635005e-01, 7.90791179e-04
3.52278769e-01, 8.00801208e-04
3.54922593e-01, 8.10811238e-04
3.57566357e-01, 8.20821268e-04
3.60210150e-01, 8.30831297e-04
3.62853914e-01, 8.40841327e-04
3.65497708e-01, 8.50851357e-04
3.67700130e-01, 8.60861386e-04
3.69893193e-01, 8.70871416e-04
3.72086227e-01, 8.80881445e-04
3.74279261e-01, 8.90891475e-04
3.76472235e-01, 9.00901505e-04
3.78665268e-01, 9.10911534e-04
3.80844057e-01, 9.20921564e-04
3.82942796e-01, 9.30931594e-04
3.84315521e-01, 9.40941623e-04
3.85413647e-01, 9.50951653e-04
3.86511654e-01, 9.60961683e-04
3.87609720e-01, 9.70971712e-04
3.88707757e-01, 9.80981742e-04
3.89805824e-01, 9.90991713e-04
3.90903801e-01, 1.00100168e-03
3.92001867e-01, 1.01101166e-03
3.93099904e-01, 1.02102163e-03
3.94197911e-01, 1.03103160e-03
3.95295918e-01, 1.04104157e-03
3.95811558e-01, 1.05105154e-03
3.96203876e-01, 1.06106151e-03
3.96560133e-01, 1.07107149e-03
3.96886587e-01, 1.08108146e-03
3.97213012e-01, 1.09109143e-03
3.97539377e-01, 1.10110140e-03
3.97865772e-01, 1.11111137e-03
3.98192197e-01, 1.12112134e-03
3.98518622e-01, 1.13113131e-03
3.98844987e-01, 1.14114129e-03
3.99171382e-01, 1.15115126e-03
3.99137765e-01, 1.16116123e-03
3.98773760e-01, 1.17117120e-03
3.98409784e-01, 1.18118117e-03
3.98045808e-01, 1.19119114e-03
3.97581220e-01, 1.20120111e-03
3.97101581e-01, 1.21121109e-03
3.96621883e-01, 1.22122106e-03
3.96142185e-01, 1.23123103e-03
3.95662606e-01, 1.24124100e-03
3.95182848e-01, 1.25125097e-03
3.94703150e-01, 1.26126094e-03
3.94074410e-01, 1.27127091e-03
3.92910033e-01, 1.28128089e-03
3.91745687e-01, 1.29129086e-03
3.90581310e-01, 1.30130083e-03
3.89416307e-01, 1.31131080e-03
3.88167739e-01, 1.32132077e-03
3.86918277e-01, 1.33133074e-03
3.85668874e-01, 1.34134071e-03
3.84419471e-01, 1.35135069e-03
3.83170038e-01, 1.36136066e-03
3.81726444e-01, 1.37137063e-03
3.80012274e-01, 1.38138060e-03
3.78298074e-01, 1.39139057e-03
3.76583874e-01, 1.40140054e-03
3.74869674e-01, 1.41141051e-03
3.73155475e-01, 1.42142049e-03
3.71401727e-01, 1.43143046e-03
3.69640678e-01, 1.44144043e-03
3.67879510e-01, 1.45145040e-03
3.66118342e-01, 1.46146037e-03
3.64086628e-01, 1.47147034e-03
3.61953944e-01, 1.48148031e-03
3.59821200e-01, 1.49149029e-03
3.57688546e-01, 1.50150026e-03
3.55555892e-01, 1.51151023e-03
3.53423238e-01, 1.52152020e-03
3.51290524e-01, 1.53153017e-03
3.49154502e-01, 1.54154014e-03
3.46996725e-01, 1.55155011e-03
3.44839036e-01, 1.56156009e-03
3.42384160e-01, 1.57157006e-03
3.39894176e-01, 1.58158003e-03
3.37404221e-01, 1.59159000e-03
3.34914267e-01, 1.60159997e-03
3.32424223e-01, 1.61160994e-03
3.29934269e-01, 1.62161991e-03
3.27444285e-01, 1.63162989e-03
3.24954301e-01, 1.64163986e-03
3.22464347e-01, 1.65164983e-03
3.19981277e-01, 1.66165980e-03
3.17446351e-01, 1.67166977e-03
3.14891130e-01, 1.68167974e-03
3.12340319e-01, 1.69168971e-03
3.09790075e-01, 1.70169969e-03
3.07239830e-01, 1.71170966e-03
3.04689646e-01, 1.72171963e-03
3.02139372e-01, 1.73172960e-03
2.99589157e-01, 1.74173957e-03
2.97038913e-01, 1.75174954e-03
2.94488728e-01, 1.76175951e-03
2.91938573e-01, 1.77176949e-03
2.89296567e-01, 1.78177946e-03
2.86655486e-01, 1.79178943e-03
2.84066498e-01, 1.80179940e-03
2.81477541e-01, 1.81180937e-03
2.78888553e-01, 1.82181934e-03
2.76299626e-01, 1.83182932e-03
2.73722202e-01, 1.84183929e-03
2.71121651e-01, 1.85184926e-03
2.68532723e-01, 1.86185923e-03
2.65943736e-01, 1.87186920e-03
2.63354808e-01, 1.88187917e-03
2.60765880e-01, 1.89188914e-03
2.58162081e-01, 1.90189912e-03
2.55557984e-01, 1.91190909e-03
2.52918750e-01, 1.92191906e-03
2.50266075e-01, 1.93192903e-03
2.47613415e-01, 1.94193900e-03
2.44960755e-01, 1.95194897e-03
2.42308080e-01, 1.96195906e-03
2.39655405e-01, 1.97196915e-03
2.37002701e-01, 1.98197924e-03
2.34350041e-01, 1.99198932e-03
2.31709480e-01, 2.00199941e-03
2.29170114e-01, 2.01200950e-03
2.26630747e-01, 2.02201959e-03
2.24091396e-01, 2.03202968e-03
2.21552014e-01, 2.04203976e-03
2.19012633e-01, 2.05204985e-03
2.16473252e-01, 2.06205994e-03
2.13950962e-01, 2.07207003e-03
2.11458832e-01, 2.08208011e-03
2.08966672e-01, 2.09209020e-03
2.06474468e-01, 2.10210029e-03
2.04047024e-01, 2.11211038e-03
2.01684162e-01, 2.12212047e-03
1.99321240e-01, 2.13213055e-03
1.96958303e-01, 2.14214064e-03
1.94595397e-01, 2.15215073e-03
1.92232460e-01, 2.16216082e-03
1.89809024e-01, 2.17217091e-03
1.87376887e-01, 2.18218099e-03
1.84944734e-01, 2.19219108e-03
1.82512566e-01, 2.20220117e-03
1.80119753e-01, 2.21221126e-03
