u,y
0.00000000e+00, 0.00000000e+00
1.90703541e-01, 1.00100096e-05
3.81407201e-01, 2.00200193e-05
5.72111785e-01, 3.00300289e-05
7.62816250e-01, 4.00400386e-05
9.53520834e-01, 5.00500464e-05
1.14731145e+00, 6.00600542e-05
1.32756793e+00, 7.00700621e-05
1.49785078e+00, 8.00800699e-05
1.66754985e+00, 9.00900777e-05
1.83724880e+00, 1.00100086e-04
2.00694752e+00, 1.10110093e-04
2.17664266e+00, 1.20120101e-04
2.31513453e+00, 1.30130109e-04
2.42270970e+00, 1.40140124e-04
2.53028655e+00, 1.50150139e-04
2.63786459e+00, 1.60160154e-04
2.74544287e+00, 1.70170169e-04
2.85315633e+00, 1.80180185e-04
2.92219353e+00, 1.90190200e-04
2.94624567e+00, 2.00200215e-04
2.97034073e+00, 2.10210230e-04
2.99443579e+00, 2.20220245e-04
3.01853037e+00, 2.30230260e-04
3.04262614e+00, 2.40240275e-04
3.03095508e+00, 2.50250276e-04
2.99483204e+00, 2.60260276e-04
2.95870996e+00, 2.70270277e-04
2.92258763e+00, 2.80280277e-04
2.88637829e+00, 2.90290278e-04
2.83903289e+00, 3.00300278e-04
2.77469373e+00, 3.10310279e-04
2.71035409e+00, 3.20320280e-04
2.64601469e+00, 3.30330280e-04
2.58180022e+00, 3.40340281e-04
2.51759553e+00, 3.50350281e-04
2.44390345e+00, 3.60360282e-04
2.37066746e+00, 3.70370282e-04
2.29743147e+00, 3.80380283e-04
2.22437382e+00, 3.90390283e-04
2.15139604e+00, 4.00400284e-04
2.07850242e+00, 4.10410285e-04
2.00747108e+00, 4.20420285e-04
1.93643999e+00, 4.30430286e-04
1.86540866e+00, 4.40440286e-04
1.79437613e+00, 4.50450287e-04
1.73429394e+00, 4.60460287e-04
1.67590547e+00, 4.70470288e-04
1.61751747e+00, 4.80480288e-04
1.56022048e+00, 4.90490289e-04
1.50303245e+00, 5.00500319e-04
1.44944179e+00, 5.10510348e-04
1.39817762e+00, 5.20520378e-04
1.34691501e+00, 5.30530408e-04
1.29379201e+00, 5.40540437e-04
1.23740315e+00, 5.50550467e-04
1.18658054e+00, 5.60560497e-04
1.13880205e+00, 5.70570526e-04
1.08885741e+00, 5.80580556e-04
1.03891277e+00, 5.90590585e-04
9.88967597e-01, 6.00600615e-04
9.49393630e-01, 6.10610645e-04
9.10960376e-01, 6.20620674e-04
8.72528076e-01, 6.30630704e-04
8.34095716e-01, 6.40640734e-04
7.95663476e-01, 6.50650763e-04
7.60935128e-01, 6.60660793e-04
7.30359316e-01, 6.70670823e-04
6.99783504e-01, 6.80680852e-04
6.69207692e-01, 6.90690882e-04
6.38631940e-01, 7.00700912e-04
6.09692454e-01, 7.10710941e-04
5.84748030e-01, 7.20720971e-04
5.59803069e-01, 7.30731001e-04
5.34858227e-01, 7.40741030e-04
5.13109684e-01, 7.50751060e-04
4.91431087e-01, 7.60761090e-04
4.70085591e-01, 7.70771119e-04
4.48836863e-01, 7.80781149e-04
4.27588046e-01, 7.90791179e-04
4.06430364e-01, 8.00801208e-04
3.85446250e-01, 8.10811238e-04
3.67932379e-01, 8.20821268e-04
3.53049576e-01, 8.30831297e-04
3.38166863e-01, 8.40841327e-04
3.23284060e-01, 8.50851357e-04
3.08401287e-01, 8.60861386e-04
2.94034183e-01, 8.70871416e-04
2.80183434e-01, 8.80881445e-04
2.66332954e-01, 8.90891475e-04
2.52725959e-01, 9.00901505e-04
2.40547508e-01, 9.10911534e-04
2.28990734e-01, 9.20921564e-04
2.18793303e-01, 9.30931594e-04
2.08595753e-01, 9.40941623e-04
1.98398292e-01, 9.50951653e-04
1.88309878e-01, 9.60961683e-04
1.78311110e-01, 9.70971712e-04
1.69352546e-01, 9.80981742e-04
1.61711112e-01, 9.90991713e-04
1.54813647e-01, 1.00100168e-03
1.47916168e-01, 1.01101166e-03
1.41018704e-01, 1.02102163e-03
1.34121299e-01, 1.03103160e-03
1.27223924e-01, 1.04104157e-03
1.20913684e-01, 1.05105154e-03
1.15320735e-01, 1.06106151e-03
1.09727800e-01, 1.07107149e-03
1.04134895e-01, 1.08108146e-03
9.85419899e-02, 1.09109143e-03
9.31043774e-02, 1.10110140e-03
8.81783292e-02, 1.11111137e-03
8.33355710e-02, 1.12112134e-03
7.92905986e-02, 1.13113131e-03
7.52456486e-02, 1.14114129e-03
7.12007135e-02, 1.15115126e-03
6.71347454e-02, 1.16116123e-03
6.30313754e-02, 1.17117120e-03
5.89280203e-02, 1.18118117e-03
5.48246242e-02, 1.19119114e-03
5.16875349e-02, 1.20120111e-03
4.86179180e-02, 1.21121109e-03
4.57598791e-02, 1.22122106e-03
4.29587513e-02, 1.23123103e-03
4.01576273e-02, 1.24124100e-03
3.73565108e-02, 1.25125097e-03
3.45553942e-02, 1.26126094e-03
3.20210233e-02, 1.27127091e-03
2.99952477e-02, 1.28128089e-03
2.79694684e-02, 1.29129086e-03
2.59436928e-02, 1.30130083e-03
2.39179172e-02, 1.31131080e-03
2.18921453e-02, 1.32132077e-03
1.98663715e-02, 1.33133074e-03
1.78405978e-02, 1.34134071e-03
1.57789402e-02, 1.35135069e-03
1.42972553e-02, 1.36136066e-03
1.29885003e-02, 1.37137063e-03
1.16797462e-02, 1.38138060e-03
1.03709940e-02, 1.39139057e-03
9.06223990e-03, 1.40140054e-03
7.75348581e-03, 1.41141051e-03
6.44472754e-03, 1.42142049e-03
5.13596274e-03, 1.43143046e-03
3.82719864e-03, 1.44144043e-03
2.73988023e-03, 1.45145040e-03
1.83010940e-03, 1.46146037e-03
9.20338323e-04, 1.47147034e-03
8.07340257e-06, 1.48148031e-03
-8.99230363e-04, 1.49149029e-03
-1.80901657e-03, 1.50150026e-03
-2.71880231e-03, 1.51151023e-03
-3.62858851e-03, 1.52152020e-03
-4.55034059e-03, 1.53153017e-03
-5.46888588e-03, 1.54154014e-03
-6.09912956e-03, 1.55155011e-03
-6.68584835e-03, 1.56156009e-03
-7.27256713e-03, 1.57157006e-03
-7.85928685e-03, 1.58158003e-03
-8.44600610e-03, 1.59159000e-03
-9.03272536e-03, 1.60159997e-03
-9.61944461e-03, 1.61160994e-03
-1.02061620e-02, 1.62161991e-03
-1.07928794e-02, 1.63162989e-03
-1.13056116e-02, 1.64163986e-03
-1.16607621e-02, 1.65164983e-03
-1.20159118e-02, 1.66165980e-03
-1.23710632e-02, 1.67166977e-03
-1.27262138e-02, 1.68167974e-03
-1.30813662e-02, 1.69168971e-03
-1.34365205e-02, 1.70169969e-03
-1.37916682e-02, 1.71170966e-03
-1.41468197e-02, 1.72171963e-03
-1.45019731e-02, 1.73172960e-03
-1.48432776e-02, 1.74173957e-03
-1.51715279e-02, 1.75174954e-03
-1.53860608e-02, 1.76175951e-03
-1.55878887e-02, 1.77176949e-03
-1.57927368e-02, 1.78177946e-03
-1.60047077e-02, 1.79178943e-03
-1.62166767e-02, 1.80179940e-03
-1.64286438e-02, 1.81180937e-03
-1.66406166e-02, 1.82181934e-03
-1.68525856e-02, 1.83182932e-03
