u,y
0.00000000e+00, 0.00000000e+00
5.60470186e-02, 1.00100096e-05
1.12092629e-01, 2.00200193e-05
1.68138340e-01, 3.00300289e-05
2.24002421e-01, 4.00400386e-05
2.80111462e-01, 5.00500464e-05
3.36220473e-01, 6.00600542e-05
3.92329216e-01, 7.00700621e-05
4.48070705e-01, 8.00800699e-05
5.03794432e-01, 9.00900777e-05
5.59517980e-01, 1.00100086e-04
6.15042567e-01, 1.10110093e-04
6.69967949e-01, 1.20120101e-04
7.24893093e-01, 1.30130109e-04
7.79818892e-01, 1.40140124e-04
8.33793998e-01, 1.50150139e-04
8.87710690e-01, 1.60160154e-04
9.41632926e-01, 1.70170169e-04
9.95106339e-01, 1.80180185e-04
1.04774904e+00, 1.90190200e-04
1.10036278e+00, 2.00200215e-04
1.15297794e+00, 2.10210230e-04
1.20389652e+00, 2.20220245e-04
1.25447929e+00, 2.30230260e-04
1.30506229e+00, 2.40240275e-04
1.35558271e+00, 2.50250276e-04
1.39855742e+00, 2.60260276e-04
1.43980920e+00, 2.70270277e-04
1.48106110e+00, 2.80280277e-04
1.52231324e+00, 2.90290278e-04
1.56356502e+00, 3.00300278e-04
1.60039902e+00, 3.10310279e-04
1.63599575e+00, 3.20320280e-04
1.67159259e+00, 3.30330280e-04
1.70611143e+00, 3.40340281e-04
1.74058115e+00, 3.50350281e-04
1.77219248e+00, 3.60360282e-04
1.79494977e+00, 3.70370282e-04
1.81770730e+00, 3.80380283e-04
1.84046435e+00, 3.90390283e-04
1.86322117e+00, 4.00400284e-04
1.88597775e+00, 4.10410285e-04
1.90893900e+00, 4.20420285e-04
1.92376900e+00, 4.30430286e-04
1.93413842e+00, 4.40440286e-04
1.94450808e+00, 4.50450287e-04
1.95488024e+00, 4.60460287e-04
1.96520019e+00, 4.70470288e-04
1.97552288e+00, 4.80480288e-04
1.98584580e+00, 4.90490289e-04
1.98785663e+00, 5.00500319e-04
1.98667717e+00, 5.10510348e-04
1.98560011e+00, 5.20520378e-04
1.98452294e+00, 5.30530408e-04
1.98344588e+00, 5.40540437e-04
1.98236883e+00, 5.50550467e-04
1.98129177e+00, 5.60560497e-04
1.97245240e+00, 5.70570526e-04
1.96041572e+00, 5.80580556e-04
1.94837904e+00, 5.90590585e-04
1.93634236e+00, 6.00600615e-04
1.92394483e+00, 6.10610645e-04
1.91108131e+00, 6.20620674e-04
1.89511919e+00, 6.30630704e-04
1.87489080e+00, 6.40640734e-04
1.85466290e+00, 6.50650763e-04
1.83443451e+00, 6.60660793e-04
1.81420636e+00, 6.70670823e-04
1.79374456e+00, 6.80680852e-04
1.77139413e+00, 6.90690882e-04
1.74765348e+00, 7.00700912e-04
1.71954155e+00, 7.10710941e-04
1.69142938e+00, 7.20720971e-04
1.66331744e+00, 7.30731001e-04
1.63520586e+00, 7.40741030e-04
1.60709393e+00, 7.50751060e-04
1.57898211e+00, 7.60761090e-04
1.55099332e+00, 7.70771119e-04
1.52159429e+00, 7.80781149e-04
1.49218047e+00, 7.90791179e-04
1.46280169e+00, 8.00801208e-04
1.43342280e+00, 8.10811238e-04
1.40404367e+00, 8.20821268e-04
1.37466502e+00, 8.30831297e-04
1.34528589e+00, 8.40841327e-04
1.31590664e+00, 8.50851357e-04
1.28472984e+00, 8.60861386e-04
1.25351512e+00, 8.70871416e-04
1.22230029e+00, 8.80881445e-04
1.19108534e+00, 8.90891475e-04
1.15987039e+00, 9.00901505e-04
1.12865579e+00, 9.10911534e-04
1.09756482e+00, 9.20921564e-04
1.06717134e+00, 9.30931594e-04
1.04013753e+00, 9.40941623e-04
1.01656616e+00, 9.50951653e-04
9.92994845e-01, 9.60961683e-04
9.69423592e-01, 9.70971712e-04
9.45852399e-01, 9.80981742e-04
9.22281325e-01, 9.90991713e-04
8.98710072e-01, 1.00100168e-03
8.75138938e-01, 1.01101166e-03
8.51567805e-01, 1.02102163e-03
8.27996969e-01, 1.03103160e-03
8.04426253e-01, 1.04104157e-03
7.83824205e-01, 1.05105154e-03
7.63851821e-01, 1.06106151e-03
7.43597806e-01, 1.07107149e-03
7.23110080e-01, 1.08108146e-03
7.02622473e-01, 1.09109143e-03
6.82134688e-01, 1.10110140e-03
6.61647081e-01, 1.11111137e-03
6.41159594e-01, 1.12112134e-03
6.20672047e-01, 1.13113131e-03
6.00184560e-01, 1.14114129e-03
5.79697073e-01, 1.15115126e-03
5.61599731e-01, 1.16116123e-03
5.45695543e-01, 1.17117120e-03
5.29791713e-01, 1.18118117e-03
5.13887882e-01, 1.19119114e-03
4.98780012e-01, 1.20120111e-03
4.83792067e-01, 1.21121109e-03
4.68804032e-01, 1.22122106e-03
4.53815937e-01, 1.23123103e-03
4.38828290e-01, 1.24124100e-03
4.23840523e-01, 1.25125097e-03
4.08852845e-01, 1.26126094e-03
3.94399345e-01, 1.27127091e-03
3.81866217e-01, 1.28128089e-03
3.69333029e-01, 1.29129086e-03
3.56799901e-01, 1.30130083e-03
3.44260752e-01, 1.31131080e-03
3.32542896e-01, 1.32132077e-03
3.20820004e-01, 1.33133074e-03
