Span,cl,BM,cm
0.1331579,1.0032,21.69159,-0.1775937
0.1447368,1.002344,21.24757,-0.1776167
0.1563158,1.001442,20.8085,-0.1776387
0.1678947,1.000495,20.37435,-0.1776594
0.1794737,0.9995047,19.94514,-0.1776789
0.1910526,0.9984727,19.52085,-0.1776972
0.2026316,0.9973999,19.10147,-0.1777143
0.2142105,0.9962872,18.68701,-0.1777302
0.2257895,0.9951355,18.27746,-0.1777448
0.2373684,0.9939456,17.8728,-0.1777583
0.2489474,0.9927181,17.47305,-0.1777705
0.2605263,0.9914536,17.07818,-0.1777815
0.2721053,0.9901527,16.68819,-0.1777914
0.2836842,0.9888158,16.30309,-0.1778001
0.2952632,0.9874432,15.92285,-0.1778076
0.3068421,0.9860353,15.54748,-0.1778139
0.3184211,0.9845923,15.17696,-0.1778191
0.33,0.9831144,14.81129,-0.1778231
0.3415789,0.9816017,14.45047,-0.177826
0.3531579,0.9800542,14.09448,-0.1778277
0.3647368,0.9784721,13.74332,-0.1778282
0.3763158,0.9768551,13.39697,-0.1778275
0.3878947,0.9752034,13.05544,-0.1778257
0.3994737,0.9735166,12.71871,-0.1778226
0.4110526,0.9717946,12.38678,-0.1778183
0.4226316,0.9700372,12.05964,-0.1778128
0.4342105,0.968244,11.73727,-0.177806
0.4457895,0.9664148,11.41967,-0.177798
0.4573684,0.9645491,11.10683,-0.1777886
0.4689474,0.9626464,10.79874,-0.1777779
0.4805263,0.9607062,10.49539,-0.1777658
0.4921053,0.9587281,10.19678,-0.1777522
0.5036842,0.9567113,9.902882,-0.1777372
0.5152632,0.9546553,9.613701,-0.1777207
0.5268421,0.9525592,9.329222,-0.1777026
0.5384211,0.9504223,9.049434,-0.1776829
0.55,0.9482438,8.774328,-0.1776615
0.5615789,0.9460227,8.503893,-0.1776383
0.5731579,0.9437581,8.238117,-0.1776133
0.5847368,0.9414488,7.976989,-0.1775864
0.5963158,0.9390938,7.720499,-0.1775575
0.6078947,0.9366919,7.468633,-0.1775264
0.6194737,0.9342418,7.221382,-0.1774932
0.6310526,0.9317422,6.978732,-0.1774576
0.6426316,0.9291915,6.740671,-0.1774196
0.6542105,0.9265882,6.507187,-0.1773789
0.6657895,0.9239308,6.278267,-0.1773355
0.6773684,0.9212174,6.053898,-0.1772892
0.6889474,0.9184462,5.834066,-0.1772398
0.7005263,0.9156151,5.618758,-0.177187
0.7121053,0.9127222,5.40796,-0.1771308
