,VLM1 -    0.5°-15.00m/s, , 
       -1.475,  -0.001019424, , 
       -1.425,   0.004402555, , 
    -1.316667,    -0.1725453, , 
        -1.15,    -0.1773282, , 
   -0.9833333,    -0.1775928, , 
    -0.898463,    -0.1815437, , 
   -0.8923256,    -0.1790998, , 
   -0.8800927,    -0.1779881, , 
   -0.8618479,    -0.1776214, , 
   -0.8377158,    -0.1776214, , 
   -0.8078612,     -0.177761, , 
   -0.7724881,    -0.1779248, , 
   -0.7318381,    -0.1780624, , 
    -0.686189,    -0.1781568, , 
   -0.6358525,     -0.178206, , 
   -0.5811724,    -0.1782135, , 
   -0.5225224,    -0.1781831, , 
    -0.460303,    -0.1781179, , 
   -0.3949393,    -0.1780187, , 
   -0.3268777,    -0.1778843, , 
   -0.2565832,    -0.1777108, , 
    -0.184536,    -0.1774927, , 
   -0.1112283,    -0.1772319, , 
  -0.03716071,    -0.1769907, , 
   0.03716071,    -0.1769907, , 
    0.1112283,    -0.1772319, , 
     0.184536,    -0.1774927, , 
    0.2565832,    -0.1777108, , 
    0.3268777,    -0.1778843, , 
    0.3949393,    -0.1780187, , 
     0.460303,    -0.1781179, , 
    0.5225224,    -0.1781831, , 
    0.5811724,    -0.1782135, , 
    0.6358525,     -0.178206, , 
     0.686189,    -0.1781568, , 
    0.7318381,    -0.1780624, , 
    0.7724881,    -0.1779248, , 
    0.8078612,     -0.177761, , 
    0.8377158,    -0.1776214, , 
    0.8618479,    -0.1776214, , 
    0.8800927,    -0.1779881, , 
    0.8923256,    -0.1790998, , 
     0.898463,    -0.1815437, , 
    0.9833333,    -0.1775928, , 
         1.15,    -0.1773282, , 
     1.316667,    -0.1725453, , 
        1.425,   0.004402555, , 
        1.475,  -0.001019424, , 

